"MARCA RECURSO INSUFICIENTE";"CUADRILLA DESASIGNADA";"COD MOVIL";"TIPO MOVIL";ESTADO;"ESTADO DE FINALIZACION";"CODIGO AMBITO";"CODIGO ELEMENTO RESPONSABLE";"CODIGO CONDICION";BAREMOS;PRECIO
NO;NO;V4650;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;8;L09;54;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;52;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;3;C20;19;;
NO;SI;V5566;"DOMICILIARIA EMERGENCIA";ANULADO;TERMINADO;;;;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;40;;
NO;SI;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;29;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;29;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A01;25;;
NO;NO;V3649;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;A02;16;;
NO;NO;V3618;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;C30;15;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P26;54;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;61;;
NO;NO;V3607;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V5566;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;C0001;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;4;R04;43;;
NO;NO;V3600;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;4;P16;11;;
NO;NO;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;M01;85;;
NO;NO;V3607;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;8;P16;11;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;66;;
NO;NO;V5561;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;9;L04;16;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;43;;
NO;NO;V3607;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;P26;40;;
NO;NO;C0001;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;4;L07;43;;
NO;NO;V3618;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A01;15;;
SI;SI;V3660;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;C30;19;;
NO;SI;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;C30;19;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;40;;
NO;NO;V3649;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;19;;
