EVENTO;ELEMENTO UBICADO;CODIGO ELEMENTO RESPONSABLE;DESCRIPCION ELEMENTO RESPONSABLE;CODIGO AMBITO;DESCRIPCION AMBITO;CODIGO CONDICION;DESCRIPCION CONDICION;OBSERVACIONES
B1821473;;S03;SECTOR;4;Red BT AÇrea;52;INACCESIBLE;
B1821475;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;29;DESCONECTADO;
B1821476;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821478;;L09;LUMINARIA;8;Alumbrado P£blico;54;MAL ESTADO;
B1821479;;T20;TRANSF. DISTRIBUCION AEREO;3;Transformador MT/BT;85;REVISION;
B1821480;;D02;DOMICILIO;6;Cliente AÇreo;52;INACCESIBLE;
B1821481;;S03;SECTOR;5;Red BT Subterr†nea;85;REVISION;
B1821482;;C20;CHIC. (PROT. BT. T/D  A RED);3;Transformador MT/BT;19;CONEXI‡N FUNDIDA;
B1821483;;D02;DOMICILIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1821484;;I01;IND. O EDIFICIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1821486;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821488;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821489;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821490;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;29;DESCONECTADO;
B1821491;;A01;ACOMETIDA;6;Cliente AÇreo;25;DESPRENDIDO;
B1821492;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821493;;C30;CHICOTE CAJA EMP.;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821494;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821495;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;54;MAL ESTADO;
B1821496;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;61;NO NORMALIZADO;
B1821497;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821498;;A01;ACOMETIDA;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821499;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821500;NUMPOS: 77832;R04;REGLETA CONEX DAE;4;Red BT AÇrea;43;FUNDIDO-A;
B1821501;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821502;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821503;;S03;SECTOR;4;Red BT AÇrea;85;REVISION;
B1821504;;P26;PROTECC EMP. 380V;7;Cliente Subterr†neo;40;FALLADO-A;
B1821505;;P16;POSTE DISTRIBUCION;4;Red BT AÇrea;11;CHOCADO;
B1821506;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821507;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821508;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821509;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821510;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821511;;M01;MEDIDOR;6;Cliente AÇreo;85;REVISION;
B1821512;;P16;POSTE DISTRIBUCION;8;Alumbrado P£blico;11;CHOCADO;
B1821513;;F01;FASE;6;Cliente AÇreo;43;FUNDIDO-A;
B1821514;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;66;NORMALIZACION;
B1821515;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821516;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821517;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821518;;L04;LINEA APOYADA OTRA EMPR.;9;Otra Empresa;16;CORTADO-A;
