EMPRESA;COD MOVIL;TIPO MOVIL;EVENTO;FALLA REPORTADA;DESCRIPCION CAUSA;ESTADO;INICIO EVENTO;LLEGADA EVENTO;ASIGNADA;ACEPTADA;EN RUTA;ARRIBO;LIBERADA;REPROMESA;PROMESA(min);REPROMESA(min);T.ASIGNACION(min);T.ARRIBO(min);CUMPL.PROMESA;CUMPL.LEGAL;CUMPL.TIEMPO
CAM;V4651;SERVICIO DE EMERGENCIA RED;B1821473;3S0389 - Sector sin Corriente;Disturbios en la zona;Cerrado;20-09-2014 0:09;20-09-2014 0:40;20-09-2014 0:29;20-09-2014 0:30;20-09-2014 0:31;20-09-2014 0:52;20-09-2014 1:01;;120;;20;31;Si;Si;No
LEONOR SOTO LTDA.;V5542;SERVICIO DE EMERGENCIA RED;B1821475;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Volantines;Cerrado;20-09-2014 0:27;20-09-2014 5:00;20-09-2014 0:49;20-09-2014 0:56;20-09-2014 0:58;20-09-2014 5:00;20-09-2014 5:36;;100;;22;273;No;No;No
LEONOR SOTO LTDA.;V5542;SERVICIO DE EMERGENCIA RED;B1821476;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;20-09-2014 0:32;20-09-2014 1:05;20-09-2014 0:49;20-09-2014 0:56;20-09-2014 0:58;20-09-2014 1:13;20-09-2014 1:24;;120;;17;33;Si;Si;No
CAM;V4650;SERVICIO DE EMERGENCIA RED;B1821478;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;20-09-2014 1:19;20-09-2014 1:35;20-09-2014 1:23;20-09-2014 1:34;20-09-2014 1:35;20-09-2014 1:58;20-09-2014 2:02;;100;;4;15;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1821479;3S0389 - Sector sin Corriente;Envejecimiento de materiales;Cerrado;20-09-2014 1:21;20-09-2014 2:32;20-09-2014 1:42;20-09-2014 2:20;20-09-2014 2:21;20-09-2014 2:32;20-09-2014 3:19;;120;;21;70;Si;Si;No
SCALUX;V3606;SERVICIO DE EMERGENCIA RED;B1821480;5A0117 - Acometidas en Corto Circuito / medidor e;Otros actos vandalicos;Cerrado;20-09-2014 4:28;20-09-2014 5:30;20-09-2014 5:04;20-09-2014 5:06;20-09-2014 5:22;;20-09-2014 6:44;;100;;36;36;Si;Si;No
CAM;V4651;SERVICIO DE EMERGENCIA RED;B1821481;3L0216 - L¡neas cortadas;Origen no determinado;Cerrado;20-09-2014 4:47;20-09-2014 5:20;20-09-2014 5:04;20-09-2014 5:06;20-09-2014 5:10;20-09-2014 5:27;20-09-2014 5:34;;45;;17;33;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1821482;3S0389 - Sector sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 6:07;20-09-2014 7:50;20-09-2014 7:24;20-09-2014 7:36;20-09-2014 7:45;20-09-2014 7:50;20-09-2014 8:44;;120;;76;102;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1821483;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 6:29;20-09-2014 7:42;20-09-2014 7:20;20-09-2014 7:21;20-09-2014 7:21;20-09-2014 7:42;20-09-2014 8:23;;120;;51;73;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1821484;5I0189 - Industria o Edificio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 8:00;20-09-2014 9:00;20-09-2014 8:03;20-09-2014 8:11;20-09-2014 8:37;20-09-2014 9:15;20-09-2014 9:36;;120;;3;60;Si;Si;No
