"MARCA_RECURSO_INSUFICIENTE";"CUADRILLA DESASIGNADA";"COD_MOVIL";"TIPO";"ESTADO EVENTO";"ESTADO TERMINACION";"CODIGO AMBITO";"COD ELEMENTO AVERIADO";"COD CONDICION";"BAREMO";"PRECIO"
"SI";"SI";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"TERMINADO";"*";"*";"*";"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";"11102"
"SI";"SI";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"*";"*";"*";"ATENCION RECLAMO DOM.FALSA ALARMA C.RED PROVISORIO";"11102"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"8";"P16";"11";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"6";"P25";"40";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"8";"L09";"54";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"6";"A02";"16";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"6";"A02";"17";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"7";"C02";"40";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"7";"D02";"57";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
"NO";"NO";"V4650,V4651,V4652,V4653,V4654,V4655,V4656";"SERVICIO DE EMERGENCIA RED";"CERRADO";"PROVISORIO";"7";"D02";"69";"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";"15860"
