"BAREMO";"PRECIO";"COD ELEMENTO AVERIADO";"DESCRIPCION ELEMENTO AVERIADO";"CODIGO AMBITO";"DESCRIPCION AMBITO";"COD CONDICION";"DESCRIPCION CONDICION";"Eventos_Averiados.ESTADO";"CODIGOS"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P16";"POSTE DISTRIBUCION";1;"Red MT Aérea";37;"EN ATENCION";"P";"1P1637"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C10";"CAMARILLA";5;"Red BT Subterránea";0;"NORMAL";"P";"5C1000"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"S03";"SECTOR";5;"Red BT Subterránea";37;"EN ATENCION";"P";"5S0337"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";93;"SERVICIO REPUESTO";"P";"6A0293"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";1;"CERRADO";"P";"6D0201"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"S03";"SECTOR";4;"Red BT Aérea";37;"EN ATENCION";"P";"4S0337"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C46";"CABLE BAJADA/SUBIDA";5;"Red BT Subterránea";37;"EN ATENCION";"P";"5C4637"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"A01";"ACOMETIDA";6;"Cliente Aéreo";93;"SERVICIO REPUESTO";"P";"6A0193"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";52;"INACCESIBLE";"P";"6D0252"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";57;"VERIFICACION DE DOMICILIO";"P";"6D0257"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";7;"Cliente Subterráneo";1;"CERRADO";"P";"7D0201"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";7;"Cliente Subterráneo";93;"SERVICIO REPUESTO";"P";"7D0293"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";16;"CORTADO-A";"P";"6A0216"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"D02";"DOMICILIO";7;"Cliente Subterráneo";89;"SIN CORRIENTE";"P";"7D0289"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";17;"CORTO-CIRCUITO";"P";"6A0217"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P26";"PROTECC EMP. 380V";7;"Cliente Subterráneo";40;"FALLADO-A";"P";"7P2640"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";43;"FUNDIDO-A";"P";"6P2543"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A01";"ACOMETIDA";6;"Cliente Aéreo";17;"CORTO-CIRCUITO";"P";"6A0117"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";12;"CON RAMAS";"P";"6A0212"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"B01";"BAJADA EMPALME";6;"Cliente Aéreo";17;"CORTO-CIRCUITO";"P";"6B0117"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"B08";"BLOCK DE CONEX  (220V)";6;"Cliente Aéreo";54;"MAL ESTADO";"P";"6B0854"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"D02";"DOMICILIO";6;"Cliente Aéreo";85;"REVISION";"P";"6D0285"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"D02";"DOMICILIO";6;"Cliente Aéreo";89;"SIN CORRIENTE";"P";"6D0289"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"D02";"DOMICILIO";6;"Cliente Aéreo";93;"SERVICIO REPUESTO";"P";"6D0293"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"M01";"MEDIDOR";6;"Cliente Aéreo";40;"FALLADO-A";"P";"6M0140"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";40;"FALLADO-A";"P";"6P2540"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";55;"METALIZADO";"P";"6P2555"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C07";"CAJA EMP. MONOFASICA";7;"Cliente Subterráneo";85;"REVISION";"P";"7C0785"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C07";"CAJA EMP. MONOFASICA";7;"Cliente Subterráneo";89;"SIN CORRIENTE";"P";"7C0789"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C30";"CHICOTE CAJA EMP.";7;"Cliente Subterráneo";15;"CONEXIÓN SUELTA";"P";"7C3015"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"D02";"DOMICILIO";7;"Cliente Subterráneo";69;"OTRA FALLA";"P";"7D0269"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"I01";"IND. O EDIFICIO";7;"Cliente Subterráneo";97;"VARIACION DE VOLTAJE";"P";"7I0197"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"M01";"MEDIDOR";7;"Cliente Subterráneo";43;"FUNDIDO-A";"P";"7M0143"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P10";"PLACA LOZA 25 AMP.";7;"Cliente Subterráneo";43;"FUNDIDO-A";"P";"7P1043"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P26";"PROTECC EMP. 380V";7;"Cliente Subterráneo";43;"FUNDIDO-A";"P";"7P2643"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P40";"PLACA LOZA 60 AMP";7;"Cliente Subterráneo";43;"FUNDIDO-A";"P";"7P4043"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"L09";"LUMINARIA";8;"Alumbrado Público";54;"MAL ESTADO";"P";"8L0954"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P16";"POSTE DISTRIBUCION";8;"Alumbrado Público";11;"CHOCADO";"P";"8P1611"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P22";"POSTE METALICO  DE AP";8;"Alumbrado Público";80;"QUEBRADO-A";"P";"8P2280"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A01";"ACOMETIDA";6;"Cliente Aéreo";12;"CON RAMAS";"P";"6A0112"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"B08";"BLOCK DE CONEX  (220V)";6;"Cliente Aéreo";19;"CONEXIÓN FUNDIDA";"P";"6B0819"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"B09";"BLOCK DE PRUEBA (220V)";6;"Cliente Aéreo";54;"MAL ESTADO";"P";"6B0954"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"I01";"IND. O EDIFICIO";6;"Cliente Aéreo";69;"OTRA FALLA";"P";"6I0169"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"M01";"MEDIDOR";6;"Cliente Aéreo";25;"DESPRENDIDO";"P";"6M0125"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P10";"PLACA LOZA 25 AMP.";6;"Cliente Aéreo";54;"MAL ESTADO";"P";"6P1054"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P16";"POSTE DISTRIBUCION";6;"Cliente Aéreo";11;"CHOCADO";"P";"6P1611"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P26";"PROTECC EMP. 380V";6;"Cliente Aéreo";43;"FUNDIDO-A";"P";"6P2643"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P33";"PUENTE BLOCK PRUEBA (220V)";6;"Cliente Aéreo";92;"SUELTO-A";"P";"6P3392"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P40";"PLACA LOZA 60 AMP";6;"Cliente Aéreo";54;"MAL ESTADO";"P";"6P4054"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C06";"CAJA DISTRIB. EMPALMES EN EDIFICIO";7;"Cliente Subterráneo";54;"MAL ESTADO";"P";"7C0654"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C07";"CAJA EMP. MONOFASICA";7;"Cliente Subterráneo";93;"SERVICIO REPUESTO";"P";"7C0793"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C28";"CAJA EMP. TRIFASICA";7;"Cliente Subterráneo";27;"DESTROZADO";"P";"7C2827"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"D02";"DOMICILIO";7;"Cliente Subterráneo";57;"VERIFICACION DE DOMICILIO";"P";"7D0257"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"L12";"LIMITADOR EN EDIFICIO";7;"Cliente Subterráneo";64;"NO RESISTE";"P";"7L1264"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A02";"ACOMETIDA CONCEN";8;"Alumbrado Público";16;"CORTADO-A";"P";"8A0216"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"L05";"LINEA AP MUNICIPAL";8;"Alumbrado Público";54;"MAL ESTADO";"P";"8L0554"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"L09";"LUMINARIA";8;"Alumbrado Público";17;"CORTO-CIRCUITO";"P";"8L0917"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P22";"POSTE METALICO  DE AP";8;"Alumbrado Público";31;"ELECTRIZADO-A";"P";"8P2231"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C10";"CAMARILLA";9;"Otra Empresa";69;"OTRA FALLA";"P";"9C1069"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";66;"NORMALIZACION";"P";"6A0266"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C02";"CABLE EMPALME";7;"Cliente Subterráneo";40;"FALLADO-A";"P";"7C0240"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"M01";"MEDIDOR";6;"Cliente Aéreo";63;"NO REGISTRA CONSUMO";"P";"6M0163"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"B08";"BLOCK DE CONEX  (220V)";6;"Cliente Aéreo";43;"FUNDIDO-A";"P";"6B0843"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"C02";"CABLE EMPALME";7;"Cliente Subterráneo";61;"NO NORMALIZADO";"P";"7C0261"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P15";"PORTA-SELLO";6;"Cliente Aéreo";80;"QUEBRADO-A";"P";"6P1580"
"ATENCION RECLAMO DOMICILIO PROVISORIO CUADRILLA RED";15549;"P15";"PORTA-SELLO";7;"Cliente Subterráneo";80;"QUEBRADO-A";"P";"7P1580"
