"BAREMO";"PRECIO";"COD ELEMENTO AVERIADO";"DESCRIPCION ELEMENTO AVERIADO";"CODIGO AMBITO";"DESCRIPCION AMBITO";"COD CONDICION";"DESCRIPCION CONDICION";"Eventos_Averiados.ESTADO";"CODIGOS"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"A11";"ALDUTTI";1;"Red MT Aérea";37;"EN ATENCION";"T";"1A1137"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C25";"CUCHILLO LOAD BUSTER";1;"Red MT Aérea";37;"EN ATENCION";"T";"1C2537"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P16";"POSTE DISTRIBUCION";3;"Transformador MT/BT";0;"NORMAL";"T";"3P1600"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"T15";"TRANSF. DISTRIBUCION SUBT";3;"Transformador MT/BT";37;"EN ATENCION";"T";"3T1537"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P20";"POSTE MOZO";4;"Red BT Aérea";37;"EN ATENCION";"T";"4P2037"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"S03";"SECTOR";4;"Red BT Aérea";52;"INACCESIBLE";"T";"4S0352"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"B23";"BOVEDA";5;"Red BT Subterránea";0;"NORMAL";"T";"5B2300"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C01";"CABLE DE DISTRIBUCION";5;"Red BT Subterránea";0;"NORMAL";"T";"5C0100"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C09";"CAMARA";5;"Red BT Subterránea";37;"EN ATENCION";"T";"5C0937"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C10";"CAMARILLA";5;"Red BT Subterránea";0;"NORMAL";"T";"5C1000"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"S03";"SECTOR";5;"Red BT Subterránea";37;"EN ATENCION";"T";"5S0337"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"A01";"ACOMETIDA";6;"Cliente Aéreo";0;"NORMAL";"T";"6A0100"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";88;"SERVICIO CORTADO";"T";"6A0288"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C28";"CAJA EMP. TRIFASICA";6;"Cliente Aéreo";93;"SERVICIO REPUESTO";"T";"6C2893"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";0;"NORMAL";"T";"6D0200"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";1;"CERRADO";"T";"6D0201"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";2;"NO SE UBICA";"T";"6D0202"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";57;"VERIFICACION DE DOMICILIO";"T";"6D0257"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";85;"REVISION";"T";"6D0285"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";6;"Cliente Aéreo";88;"SERVICIO CORTADO";"T";"6D0288"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"I01";"IND. O EDIFICIO";6;"Cliente Aéreo";2;"NO SE UBICA";"T";"6I0102"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"M01";"MEDIDOR";6;"Cliente Aéreo";52;"INACCESIBLE";"T";"6M0152"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C02";"CABLE EMPALME";7;"Cliente Subterráneo";0;"NORMAL";"T";"7C0200"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C02";"CABLE EMPALME";7;"Cliente Subterráneo";93;"SERVICIO REPUESTO";"T";"7C0293"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C07";"CAJA EMP. MONOFASICA";7;"Cliente Subterráneo";0;"NORMAL";"T";"7C0700"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";7;"Cliente Subterráneo";0;"NORMAL";"T";"7D0200"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";7;"Cliente Subterráneo";1;"CERRADO";"T";"7D0201"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";7;"Cliente Subterráneo";57;"VERIFICACION DE DOMICILIO";"T";"7D0257"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D02";"DOMICILIO";7;"Cliente Subterráneo";59;"NO ATENDIDO";"T";"7D0259"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"I01";"IND. O EDIFICIO";7;"Cliente Subterráneo";2;"NO SE UBICA";"T";"7I0102"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"I01";"IND. O EDIFICIO";7;"Cliente Subterráneo";88;"SERVICIO CORTADO";"T";"7I0188"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"L05";"LINEA AP MUNICIPAL";8;"Alumbrado Público";0;"NORMAL";"T";"8L0500"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"L09";"LUMINARIA";8;"Alumbrado Público";0;"NORMAL";"T";"8L0900"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P22";"POSTE METALICO  DE AP";8;"Alumbrado Público";37;"EN ATENCION";"T";"8P2237"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"L04";"LINEA APOYADA OTRA EMPR.";9;"Otra Empresa";0;"NORMAL";"T";"9L0400"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"L06";"LINEA PARTICULAR";9;"Otra Empresa";0;"NORMAL";"T";"9L0600"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P16";"POSTE DISTRIBUCION";9;"Otra Empresa";37;"EN ATENCION";"T";"9P1637"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P16";"POSTE DISTRIBUCION";1;"Red MT Aérea";0;"NORMAL";"T";"1P1600"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"P16";"POSTE DISTRIBUCION";3;"Transformador MT/BT";37;"EN ATENCION";"T";"3P1637"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"L07";"LINEA DIST. CONC 1F";4;"Red BT Aérea";0;"NORMAL";"T";"4L0700"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";37;"EN ATENCION";"T";"6A0237"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"I01";"IND. O EDIFICIO";6;"Cliente Aéreo";93;"SERVICIO REPUESTO";"T";"6I0193"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"M01";"MEDIDOR";6;"Cliente Aéreo";0;"NORMAL";"T";"6M0100"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"B07";"BASTON LOAD BUSTER";1;"Red MT Aérea";1;"CERRADO";"T";"1B0701"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"C25";"CUCHILLO LOAD BUSTER";1;"Red MT Aérea";0;"NORMAL";"T";"1C2500"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"L02";"LINEA DE DISTRIBUCION";1;"Red MT Aérea";0;"NORMAL";"T";"1L0200"
"ATENCION RECLAMO DOM.FALSA ALARMA C.RED";10884;"D03";"DESCONECTADOR SUBTERRANEO SF6";2;"Red MT Subterránea";0;"NORMAL";"T";"2D0300"
