BAREMO;PRECIO;COD ELEMENTO AVERIADO;DESCRIPCION ELEMENTO AVERIADO;CODIGO AMBITO;DESCRIPCION AMBITO;COD CONDICION;DESCRIPCION CONDICION;Eventos_Averiados.ESTADO;CODIGOS;1,08
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;A01;ACOMETIDA;6;Cliente Aéreo;60;NO CORRESPONDE A LA COMPAÑIA;P;6A0160;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;A02;ACOMETIDA CONCEN;6;Cliente Aéreo;19;CONEXIÓN FUNDIDA;P;6A0219;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;A02;ACOMETIDA CONCEN;6;Cliente Aéreo;25;DESPRENDIDO;P;6A0225;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;A02;ACOMETIDA CONCEN;6;Cliente Aéreo;26;DESTEMPLADO;P;6A0226;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;A02;ACOMETIDA CONCEN;6;Cliente Aéreo;54;MAL ESTADO;P;6A0254;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;A02;ACOMETIDA CONCEN;6;Cliente Aéreo;61;NO NORMALIZADO;P;6A0261;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;B01;BAJADA EMPALME;6;Cliente Aéreo;17;CORTO-CIRCUITO;P;6B0117;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;B01;BAJADA EMPALME;6;Cliente Aéreo;50;INTERVENIDO;P;6B0150;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;B01;BAJADA EMPALME;6;Cliente Aéreo;66;NORMALIZACION;P;6B0166;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;B08;BLOCK DE CONEX  (220V);6;Cliente Aéreo;40;FALLADO-A;P;6B0840;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;B18;BLOCK DE PRUEBA (380V);6;Cliente Aéreo;77;PUENTEADO-A;P;6B1877;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;C07;CAJA EMP. MONOFASICA;6;Cliente Aéreo;69;OTRA FALLA;P;6C0769;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;C07;CAJA EMP. MONOFASICA;6;Cliente Aéreo;78;QUEDO IGUAL;P;6C0778;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;C30;CHICOTE CAJA EMP.;6;Cliente Aéreo;43;FUNDIDO-A;P;6C3043;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;E03;EXTENSION METALICA DE EMPALME;6;Cliente Aéreo;25;DESPRENDIDO;P;6E0325;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;F01;FASE;6;Cliente Aéreo;19;CONEXIÓN FUNDIDA;P;6F0119;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;05;ABIERTO;P;6M0105;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;25;DESPRENDIDO;P;6M0125;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;27;DESTROZADO;P;6M0127;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;29;DESCONECTADO;P;6M0129;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;50;INTERVENIDO;P;6M0150;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;61;NO NORMALIZADO;P;6M0161;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;M01;MEDIDOR;6;Cliente Aéreo;66;NORMALIZACION;P;6M0166;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;P16;POSTE DISTRIBUCION;6;Cliente Aéreo;78;QUEDO IGUAL;P;6P1678;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;P25;PROTECC EMP. 220V;6;Cliente Aéreo;69;OTRA FALLA;P;6P2569;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;P25;PROTECC EMP. 220V;6;Cliente Aéreo;78;QUEDO IGUAL;P;6P2578;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;P26;PROTECC EMP. 380V;6;Cliente Aéreo;29;DESCONECTADO;P;6P2629;10368
ATENCION RECLAMO DOMICILIO PROVISORIO;9.600;P26;PROTECC EMP. 380V;6;Cliente Aéreo;43;FUNDIDO-A;P;6P2643;10368
