"BAREMO";"PRECIO";"COD ELEMENTO AVERIADO";"DESCRIPCION ELEMENTO AVERIADO";"CODIGO AMBITO";"DESCRIPCION AMBITO";"COD CONDICION";"DESCRIPCION CONDICION";"Eventos_Averiados.ESTADO";"CODIGOS"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"L02";"LINEA DE DISTRIBUCION";1;"Red MT Aérea";17;"CORTO-CIRCUITO";"P";"1L0217"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"L02";"LINEA DE DISTRIBUCION";1;"Red MT Aérea";54;"MAL ESTADO";"P";"1L0254"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"P04";"PPF LOAD BUSTER";1;"Red MT Aérea";69;"OTRA FALLA";"P";"1P0469"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"P16";"POSTE DISTRIBUCION";1;"Red MT Aérea";11;"CHOCADO";"P";"1P1611"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"P16";"POSTE DISTRIBUCION";1;"Red MT Aérea";54;"MAL ESTADO";"P";"1P1654"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"P16";"POSTE DISTRIBUCION";1;"Red MT Aérea";58;"NO OFR PELIG (PROGRAMAR)";"P";"1P1658"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"T10";"TIRANTE";1;"Red MT Aérea";11;"CHOCADO";"P";"1T1011"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"G06";"GRAMPA DE RETENSION";4;"Red BT Aérea";80;"QUEBRADO-A";"P";"4G0680"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"L02";"LINEA DE DISTRIBUCION";4;"Red BT Aérea";67;"OBJETO CAIDO";"P";"4L0267"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"L07";"LINEA DIST. CONC 1F";4;"Red BT Aérea";66;"NORMALIZACION";"P";"4L0766"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"P16";"POSTE DISTRIBUCION";4;"Red BT Aérea";54;"MAL ESTADO";"P";"4P1654"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"P16";"POSTE DISTRIBUCION";4;"Red BT Aérea";69;"OTRA FALLA";"P";"4P1669"
"ATENCIÓN DE RECLAMOS CENTRO CIVICO PROVISORIOS";7508;"T10";"TIRANTE";4;"Red BT Aérea";16;"CORTADO-A";"P";"4T1016"
