"BAREMO";"PRECIO";"COD ELEMENTO AVERIADO";"DESCRIPCION ELEMENTO AVERIADO";"CODIGO AMBITO";"DESCRIPCION AMBITO";"COD CONDICION";"DESCRIPCION CONDICION";"Eventos_Averiados.ESTADO";"CODIGOS"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P10";"PLACA LOZA 25 AMP.";6;"Cliente Aéreo";66;"NORMALIZACION";"T";"6P1066"
"ATENCION RECLAMO CENTRO CIVICO";10010;"U01";"UNION A TABLERO";6;"Cliente Aéreo";66;"NORMALIZACION";"T";"6U0166"
"ATENCION RECLAMO CENTRO CIVICO";10010;"B09";"BLOCK DE PRUEBA (220V)";7;"Cliente Subterráneo";77;"PUENTEADO-A";"T";"7B0977"
"ATENCION RECLAMO CENTRO CIVICO";10010;"C02";"CABLE EMPALME";7;"Cliente Subterráneo";40;"FALLADO-A";"T";"7C0240"
"ATENCION RECLAMO CENTRO CIVICO";10010;"E06";"EMPALME TRIFASICO";7;"Cliente Subterráneo";85;"REVISION";"T";"7E0685"
"ATENCION RECLAMO CENTRO CIVICO";10010;"F01";"FASE";7;"Cliente Subterráneo";66;"NORMALIZACION";"T";"7F0166"
"ATENCION RECLAMO CENTRO CIVICO";10010;"L06";"LINEA PARTICULAR";7;"Cliente Subterráneo";16;"CORTADO-A";"T";"7L0616"
"ATENCION RECLAMO CENTRO CIVICO";10010;"L12";"LIMITADOR EN EDIFICIO";7;"Cliente Subterráneo";66;"NORMALIZACION";"T";"7L1266"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P40";"PLACA LOZA 60 AMP";7;"Cliente Subterráneo";78;"QUEDO IGUAL";"T";"7P4078"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P51";"PUENTE BLOCK PRUEBA (380V)";7;"Cliente Subterráneo";66;"NORMALIZACION";"T";"7P5166"
"ATENCION RECLAMO CENTRO CIVICO";10010;"L09";"LUMINARIA";8;"Alumbrado Público";66;"NORMALIZACION";"T";"8L0966"
"ATENCION RECLAMO CENTRO CIVICO";10010;"D02";"DOMICILIO";7;"Cliente Subterráneo";45;"FALLA EN INSTALACION CLIENTE";"T";"7D0245"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P16";"POSTE DISTRIBUCION";1;"Red MT Aérea";11;"CHOCADO";"T";"1P1611"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P50";"PROTECC. ARRANQUE MT";1;"Red MT Aérea";29;"DESCONECTADO";"T";"1P5029"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P29";"PROTECC T/D EN BT";3;"Transformador MT/BT";66;"NORMALIZACION";"T";"3P2966"
"ATENCION RECLAMO CENTRO CIVICO";10010;"L02";"LINEA DE DISTRIBUCION";4;"Red BT Aérea";17;"CORTO-CIRCUITO";"T";"4L0217"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P16";"POSTE DISTRIBUCION";4;"Red BT Aérea";85;"REVISION";"T";"4P1685"
"ATENCION RECLAMO CENTRO CIVICO";10010;"T10";"TIRANTE";4;"Red BT Aérea";16;"CORTADO-A";"T";"4T1016"
"ATENCION RECLAMO CENTRO CIVICO";10010;"B23";"BOVEDA";5;"Red BT Subterránea";67;"OBJETO CAIDO";"T";"5B2367"
"ATENCION RECLAMO CENTRO CIVICO";10010;"B23";"BOVEDA";5;"Red BT Subterránea";69;"OTRA FALLA";"T";"5B2369"
"ATENCION RECLAMO CENTRO CIVICO";10010;"C01";"CABLE DE DISTRIBUCION";5;"Red BT Subterránea";16;"CORTADO-A";"T";"5C0116"
"ATENCION RECLAMO CENTRO CIVICO";10010;"C01";"CABLE DE DISTRIBUCION";5;"Red BT Subterránea";37;"EN ATENCION";"T";"5C0137"
"ATENCION RECLAMO CENTRO CIVICO";10010;"C01";"CABLE DE DISTRIBUCION";5;"Red BT Subterránea";40;"FALLADO-A";"T";"5C0140"
"ATENCION RECLAMO CENTRO CIVICO";10010;"F03";"FUSIBLE";5;"Red BT Subterránea";16;"CORTADO-A";"T";"5F0316"
"ATENCION RECLAMO CENTRO CIVICO";10010;"F03";"FUSIBLE";5;"Red BT Subterránea";66;"NORMALIZACION";"T";"5F0366"
"ATENCION RECLAMO CENTRO CIVICO";10010;"M02";"MOLE";5;"Red BT Subterránea";69;"OTRA FALLA";"T";"5M0269"
"ATENCION RECLAMO CENTRO CIVICO";10010;"S03";"SECTOR";5;"Red BT Subterránea";8;"BAJO VOLTAJE";"T";"5S0308"
"ATENCION RECLAMO CENTRO CIVICO";10010;"S03";"SECTOR";5;"Red BT Subterránea";85;"REVISION";"T";"5S0385"
"ATENCION RECLAMO CENTRO CIVICO";10010;"S03";"SECTOR";5;"Red BT Subterránea";89;"SIN CORRIENTE";"T";"5S0389"
"ATENCION RECLAMO CENTRO CIVICO";10010;"S04";"SEMICAMARA";5;"Red BT Subterránea";69;"OTRA FALLA";"T";"5S0469"
"ATENCION RECLAMO CENTRO CIVICO";10010;"S05";"STUD MOLE";5;"Red BT Subterránea";66;"NORMALIZACION";"T";"5S0566"
"ATENCION RECLAMO CENTRO CIVICO";10010;"A01";"ACOMETIDA";6;"Cliente Aéreo";69;"OTRA FALLA";"T";"6A0169"
"ATENCION RECLAMO CENTRO CIVICO";10010;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";15;"CONEXIÓN SUELTA";"T";"6A0215"
"ATENCION RECLAMO CENTRO CIVICO";10010;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";29;"DESCONECTADO";"T";"6A0229"
"ATENCION RECLAMO CENTRO CIVICO";10010;"A02";"ACOMETIDA CONCEN";6;"Cliente Aéreo";69;"OTRA FALLA";"T";"6A0269"
"ATENCION RECLAMO CENTRO CIVICO";10010;"B09";"BLOCK DE PRUEBA (220V)";6;"Cliente Aéreo";66;"NORMALIZACION";"T";"6B0966"
"ATENCION RECLAMO CENTRO CIVICO";10010;"E03";"EXTENSION METALICA DE EMPALME";6;"Cliente Aéreo";80;"QUEBRADO-A";"T";"6E0380"
"ATENCION RECLAMO CENTRO CIVICO";10010;"I01";"IND. O EDIFICIO";6;"Cliente Aéreo";85;"REVISION";"T";"6I0185"
"ATENCION RECLAMO CENTRO CIVICO";10010;"M01";"MEDIDOR";6;"Cliente Aéreo";85;"REVISION";"T";"6M0185"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P10";"PLACA LOZA 25 AMP.";6;"Cliente Aéreo";54;"MAL ESTADO";"T";"6P1054"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";29;"DESCONECTADO";"T";"6P2529"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";40;"FALLADO-A";"T";"6P2540"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";61;"NO NORMALIZADO";"T";"6P2561"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P25";"PROTECC EMP. 220V";6;"Cliente Aéreo";92;"SUELTO-A";"T";"6P2592"
"ATENCION RECLAMO CENTRO CIVICO";10010;"P43";"POSTE DE PASO DE ACOMETIDA";6;"Cliente Aéreo";11;"CHOCADO";"T";"6P4311"
"ATENCION RECLAMO CENTRO CIVICO";10010;"U01";"UNION A TABLERO";6;"Cliente Aéreo";43;"FUNDIDO-A";"T";"6U0143"
"ATENCION RECLAMO CENTRO CIVICO";10010;"U01";"UNION A TABLERO";6;"Cliente Aéreo";54;"MAL ESTADO";"T";"6U0154"
"ATENCION RECLAMO CENTRO CIVICO";10010;"U01";"UNION A TABLERO";6;"Cliente Aéreo";69;"OTRA FALLA";"T";"6U0169"
